Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.829899999999999949e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000291109085083008e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741900000000000048e+01,2.795700000000000074e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.000927209854125977e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.825000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.001757621765136719e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.727299999999999969e+01,2.805499999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.002412796020507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.820100000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003039836883544922e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.800600000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.003937482833862305e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741900000000000048e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.004648685455322266e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.785900000000000176e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.005439519882202148e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741900000000000048e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.005959272384643555e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.805499999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000657343864440918e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.737000000000000099e+01,2.800600000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100710439682006836e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.732199999999999918e+01,2.780999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200767445564270020e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.741900000000000048e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300844454765319824e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.737000000000000099e+01,2.771300000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.400940179824829102e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.727299999999999969e+01,2.815200000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.501009202003479004e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.732199999999999918e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.601058244705200195e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.722400000000000020e+01,2.751699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.701120114326477051e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.727299999999999969e+01,2.780999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.801174998283386230e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.727299999999999969e+01,2.795700000000000074e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.901262450218200684e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.717500000000000071e+01,2.780999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001302146911621094e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.717500000000000071e+01,2.795700000000000074e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.101397252082824707e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.712600000000000122e+01,2.795700000000000074e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.201490712165832520e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.707700000000000173e+01,2.795700000000000074e+01,2.300000000000000000e+01,2.300000000000000000e+01
