Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000593185424804688e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001348495483398438e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.002260208129882812e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.003176689147949219e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003986358642578125e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.004667043685913086e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.004811525344848633e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.005057573318481445e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.005254268646240234e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000563478469848633e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100588512420654297e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200666022300720215e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300705265998840332e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.400788998603820801e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.500865960121154785e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.600921225547790527e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.700962615013122559e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.801000642776489258e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.901040959358215332e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001095604896545410e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.101139569282531738e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.201178979873657227e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
