Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.751699999999999946e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000372886657714844e+00,8.390148222686876522e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.189297676086425781e+00,8.591419702038683681e+01,0.000000000000000000e+00,2.756599999999999895e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.368042230606079102e+00,9.105274553058022491e+01,0.000000000000000000e+00,2.746799999999999997e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.522958755493164062e+00,9.516719404077363720e+01,0.000000000000000000e+00,2.746799999999999997e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.811561584472656250e+00,9.982045940930474615e+01,0.000000000000000000e+00,2.741900000000000048e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.976714134216308594e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.741900000000000048e+01,2.707700000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.150895357131958008e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.741900000000000048e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.344472169876098633e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.751699999999999946e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.054027843475341797e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.746799999999999997e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.171173620223999023e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.746799999999999997e+01,2.722400000000000020e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.288369798660278320e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.761499999999999844e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.405650115013122559e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.766400000000000148e+01,2.722400000000000020e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.524259781837463379e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.766400000000000148e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.641727256774902344e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.766400000000000148e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.761211705207824707e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.776099999999999923e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.878753018379211426e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.776099999999999923e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.996590471267700195e+01,9.804568559853632337e+01,0.000000000000000000e+00,2.795700000000000074e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.115406799316406250e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.785900000000000176e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.238466072082519531e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.780999999999999872e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.354179310798645020e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.795700000000000074e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.470969891548156738e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.795700000000000074e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.588642811775207520e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.805499999999999972e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.705120062828063965e+01,9.920992375849451150e+01,0.000000000000000000e+00,2.820100000000000051e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.822389721870422363e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.939709830284118652e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.056261777877807617e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.173848104476928711e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.291808724403381348e+01,9.808560645582855386e+01,0.000000000000000000e+00,2.864099999999999824e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.410744881629943848e+01,9.994283857814949101e+01,0.000000000000000000e+00,2.878800000000000026e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
